Course,BOH4M0-A,SPH4U0-A,MHF4U0-C,HSB4U0-A,CLN4U0-A,CIA4U0-A,HIP4O0-B,SBI4U0-A,ENG4U0-F,BOH4M0-B,ENG3U0-A,CGR4M0-A,HIP4O0-A,HPW3C0-A,RCR1O0-B,SCH4U0-A,HFA4C0-A,PSK4U0-A,MHF4U0-B,GLN4O0-A,GLN4OC-A,GLC2OW-A,ENG4U0-G,CHY4U0-A,SCH4U0-B,SBI4U0-B,HFA4U0-B,HZT4U0-A,KENCN0-P,KMMCN0-P,KCWCN0-S,KMMCN0-S,KGLCN0-P,KGLCN0-S,KENCN0-S,KCWCN0-P,GLN4O0-B,GLC2OW-B,GLN4OC-B,GLC2OC-A,BBB4M0-A,HFA4U0-C,TDJ4M0-A,KMMCN0-Q,KMMCN0-T,KGLCN0-Q,KCWCN0-T,KCWCN0-Q,KENCN0-T,KGLCN0-T,KENCN0-Q,ENG4U0-A,SPH4U0-C,SBI4U0-C,MHF4U0-D,MCV4U0-A,FIF4U0-B,PAF4OM-A,MDM4U0-A,ENG4U0-D,MCV4U0-B,ICS4U0-A,FSF4U0-A,SCH4U0-C,ENG4U0-B,MHF4U0-A,SPH4U0-B,HHG4M0-A,TCJ4C0-B,ENG4U0-C,MCV4U0-C,IDC4U0-A,MAP4C0-B,PPL4OF-A,AWS4M0-A,AVI4M0-A,CPW4U0-A,TGG4M0-A,ENG3E0-A,MAT2L0-A,GLE3O0-B,TCJ4C0-A,ENG4C0-B,GLC2OC-D,ICS4U0-B,ICS3U0-A,SPH4C0-A,AWS3M0-A,TDJ3M0-A,OLC4O0-B,ENG3C0-A,MBF3C0-A,ENG4C0-C,ICS4C0-A,BAT4M0-A,GLN4OC-C,ENG4C0-A,GLN4O0-C,MAP4C0-A,GLC2OW-C,FIF4U0-C,CLN4U0-B,PPL4OM-B,TGJ4M0-A,GLS4O0-A,ENG4U0-E,BAF3M0-A,BDI3C0-A,CGW4UV-A,TTJ4C0-A,HFA4C0-B,PPL4OM-A,FIF4U0-A,SCH4U0-D,OLC4O0-A,RCR1O0-C,RCR1O0-F,MCF3M0-A,BDV4C0-A,TGI3M0-A,ENG4E0-A,GLE4O0-B,HNB4M0-A,ADA3M0-A,TTJ3C0-A,HFA4U0-A,RCR1O0-D,MEL4E0-A,GLE4O0-A,SCH4C0-A,RCR1O0-A,ADA4M0-A,ENG4CP-A,GLN4OC-D,ENG3C0-B,GLN4O0-D,GLC2OW-D,TDJ3M0-B,GLC2OC-C,ENG3U0-B,MBF3C0-B,HFC3M0-B,TGV3M0-A,GLC2OC-B,MCR3U0-C,SPH3U0-B,HFC3M0-A,GLS4O0-B,RCR1O0-E,HSP3U0-A,BMI3C0-A,MCF3M0-B,ENG3U0-E,ENG2P0-A,AVI3M0-A,MBF3C0-C,TCJ3C0-A,COP1XC-B,AVI2O0-A,TPJ3M0-A,RCR1O0-I,CLU3M0-A,SBI3U0-A,MCR3U0-D,SPH3U0-D,FIF3U0-A,SCH3U0-A,KCWCN0-U,KGLCN0-U,KMMCN0-R,KCWCN0-R,KGLCN0-R,KENCN0-R,KENCN0-U,KMMCN0-U,PAF3OM-A,HFC3M0-C,SCH3U0-D,ENG3U0-C,ENG3U0-F,SCH3U0-C,TEJ3M0-A,SPH3U0-A,BAF3M0-B,CHW3M0-A,SCH3U0-B,ICS3U0-B,MCR3U0-B,ENG3U0-G,MCR3U0-E,FIF3U0-C,EPS3OV-A,HSP3UV-A,ENG2D0-D,SNC2D0-B,ENG3U0-D,FIF3U0-B,HSP3UV-B,SBI3U0-B,SPH3U0-C,MCR3U0-A,SBI3U0-D,TGG3M0-A,NDA3M0-A,SBI3C0-A,HPW3C0-B,SCH3U0-E,PPL3OF-B,TCJ3C0-B,FSF3U0-A,PPL3OF-A,HNC3C0-A,ENG3C0-C,PPL3OM-B,SVN3M0-A,CLU3M0-B,MEL3E0-A,CHA3U0-A,RCR1O0-G,SBI3U0-C,MPM2D0-B,CHC2D0-F,SNC2D0-G,PPL3OM-A,HSP3U0-B,MFM2P0-A,ENG2D0-A,HFN2O0-E,GLE3O0-A,ENG3CP-A,CHV2OV-B,GLC2OV-B,LWSBO0-A,SNC2P0-A,MBF3CP-A,RCR1O0-H,MFM2P0-B,AWQ2O0-C,GLS4O0-C,CHV2OV-C,AWQ2O0-B,CHC2DV-C,ENG2D0-B,HFN2O0-B,MPM2D0-F,SNC2D0-A,FIF2D0-C,GLC2OV-C,CHC2PP-A,ENG2PP-A,FIF2D0-B,HFN2O0-A,MPM2D0-H,CHC2DV-B,SNC2D0-D,FSF2D0-A,GLC2O0-A,ENG2D0-F,HFN2O0-D,CHC2D0-B,CHV2O0-A,ICS2O0-A,MPM2D0-A,SNC2D0-H,CHV2O0-D,AWQ2O0-D,BBI2O0-B,CHC2D0-D,ENG2D0-E,GLC2O0-D,TCJ2O0-A,SNC1PP-A,CGC1PP-A,BBI2O0-A,GLC2O0-F,CHV2O0-F,MPM2D0-C,CHC2D0-A,BBI2O0-D,CHC2D0-C,ENG2D0-G,PAL2O0-A,SNC2D0-E,PPL2OM-B,TIJ1O0-B,GLC2O0-G,MPM2D0-D,CHV2O0-G,ENG2P0-C,CHC2P0-A,ICS2O0-B,SNC2P0-B,TDJ2O0-A,GLC2O0-E,CHV2O0-E,TGJ2O0-A,TEJ2O0-A,CHV2O0-C,CHC2P0-B,GLC2O0-C,CHC2DV-A,BBI2OV-A,ADV2O0-A,CHC2D0-E,ENG2D0-H,HFN2O0-C,PPL2OM-A,AWQ2O0-A,ADA2O0-A,GLC2O0-B,CHV2O0-B,MPM2D0-E,MPM1D0-A,SNC2D0-C,ENG2P0-B,GLE2O0-A,MFM2P0-C,GLC2OV-A,SNC2D0-F,CHV2OV-A,PPL2OF-A,TTJ2O0-A,PAL2O0-B,MPM1D0-B,SNC2L0-A,MAT1L0-A,ENG1L0-A,MPM2D0-G,ENG2D0-C,MFM1P0-A,FIF2D0-A,BBI2O0-C,GLC2OP-A,CHV2OP-A,SNC2PP-A,TTJ2O0-B,PPL1OM-B,TIJ1O0-F,FSF1P0-B,ADA1O0-D,ENG1D0-G,SNC1D0-K,CGC1D0-A,AMV2O0-A,MPM1D0-C,ENG2L0-A,GLE3O0-C,GLE2O0-B,MFM1P0-C,MPM1D0-F,HIF1O0-B,PPL1OF-C,CGC1P0-A,FSF1P0-A,ENG1P0-B,AVI1O0-A,TIJ1O0-A,CGC1D0-F,MPM1D0-I,ENG1D0-D,SNC1D0-E,AVI1O0-B,PPL1OM-E,FSF1P0-C,FIF1D0-A,BTT1O0-B,CGC1DV-D,ENG1D0-F,SNC1D0-D,PPL1O3-B,ADA1O0-C,MPM1D0-K,SNC1P0-A,CGC1P0-B,PPL1OM-A,TIJ1O0-C,ENG1P0-A,ADA1O0-E,MFM1P0-B,HIF1O0-D,PPL1O5-B,FIF1D0-B,ENG1D0-J,AMI1O3-A,CGC1DV-A,AVI1O0-D,FSF1D0-C,ADA1O0-B,PPL1OF-A,CGC1D0-B,MPM1D0-D,ENG1D0-L,SNC1D0-J,BTT1O0-E,TIJ1O0-G,FSF1D0-A,ENG1D0-H,SNC1D0-L,AVI1O0-F,CGC1DV-B,HIF1O0-C,PPL1O5-A,CGC1DV-E,FIF1D0-D,AVI1O0-C,ENG1D0-K,FIF1D0-E,ENG1D0-A,CGC1DV-C,MPM1D0-H,AMI1O5-A,SNC1D0-A,BTT1O0-G,TIJ1O0-E,ENG1D0-C,PPL1OF-B,FSF1D0-B,BTT1O0-F,MPM1D0-G,AVI1O0-E,ENG1D0-E,MPM1D0-J,PPL1O5-C,SNC1D0-F,CGC1D0-E,ENG1D0-B,BTT1O0-A,BTT1O0-D,PPL1OM-C,CGC1D0-C,ADA1O0-A,AMV1O0-A,SNC1D0-C,PPL1OM-D,ENG1D0-I,MPM1D0-E,CGC1D0-G,FSF1D0-D,SNC1P0-B,HIF1O0-A,PAI1OF-A,PPL1O3-A,FIF1D0-C,TIJ1O0-D,SNC1D0-B,MPM1D0-L,FSF1P0-D,BTT1O0-C,FSF1D0-E,PPL1OF-D,SNC1D0-H,CGC1D0-D,SNC1D0-I,GLE1O0-A,GLE1O0-B,SNC1D0-G,ENG1PP-A,MFM1PP-A,GLE4O0-C,MFM2PP-A,GLS1O0-B,GLS1O0-A,SNC1L0-A,RCR1O0-K,RCR1O0-J,COP1XC-A
ICS4U0-B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICS3U0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,3,2,0,6,5,1,0,0,4,4,2,3,0,1,2,0,0,0,0,0,2,4,5,10,1,0,0,0,0,0,0,0,0,0,1,2,5,8,2,6,0,3,8,2,6,0,7,6,5,2,0,3,0,0,2,4,2,4,3,0,4,2,0,0,0,3,1,0,1,1,1,2,2,2,2,0,1,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPH4C0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,1,1,0,1,2,5,1,0,0,0,0,2,0,0,0,4,0,1,1,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS3M0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,3,1,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,2,1,1,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,2,1,0,2,1,1,0,0,0,0,2,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDJ3M0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,1,3,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,3,3,1,0,2,1,2,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,2,0,1,0,1,1,0,2,0,2,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLC4O0-B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,1,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG3C0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,1,0,4,0,0,0,0,6,0,0,1,1,0,0,0,1,1,0,2,2,1,2,0,8,6,4,1,0,0,2,0,0,2,2,1,1,0,2,5,4,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,5,0,2,1,2,2,0,4,1,0,2,7,3,3,3,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBF3C0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,5,2,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2,4,2,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENG4C0-C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,6,1,0,0,0,8,0,0,0,8,3,1,0,0,0,0,1,4,1,2,0,3,0,1,0,5,1,0,0,0,0,1,2,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ICS4C0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,0,1,4,1,6,1,0,1,7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT4M0-A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,1,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
